termo,definicion
ascensión recta,"Sb.  ou AR. En astronomía, ángulo formado pola dirección ao punto vernal ou punto Aries e o plano do círculo horario do astro, medido sobre o plano do ecuador celeste e no sentido contrario ao das agullas do reloxo. Pódese medir en graos (de 0º a 360º unha volta completa) ou en unidades horarias (de 0 a 24 h). Xunto coa declinación forma as chamadas coordenadas ecuatoriais absolutas."
asíntota,"Liña, xeralmente recta, á que se aproxima unha curva respecto á que sería tanxente só no infinito."
asociación en derivación,Asociación en paralelo.
asociación en paralelo,Forma de conectar dispositivos como resistencias e condensadores de xeito que a tensión entre os seus extremos é a mesma para todos eles. 0figura0
asociación en serie,Forma de conectar dispositivos como resistencias e condensadores de xeito que a tensión entre os extremos da asociación é a suma das tensións en cada un dos dispositivos conectados. 0figura0
aspectos,"En astronomía, diferentes posicións planetarias e da Lúa, correspondentes á elongacións particulares. As principais son as conxuncións (inferior e superior) para os planetas inferiores, e a conxunción, oposición e cuadratura, para os planetas superiores e a Lúa.0figura0."
astato,"Sb. At. Elemento químico de número atómico 85, descuberto no 1940 por D. R. Corson, K. R. MacKenzie, and E. Segre. Dos 31 isótopos que se coñecen o máis estable é o At-210 cunha vida media de 8,1 horas. MA. 209,99 u; Pf. 302 ºC."
astenosfera,"Unidade dinámica presente no manto terráqueo externo, por debaixo da litosfera e por riba da mesosfera. A diferencia desta última, a astenosfera consiste en material blando (astheno en grego significa 'débil'), debido a que se atopa próximo ao seu punto de fusión dadas as condicións de temperatura e presión dominantes nesa capa. O espesor da astenosfera pode chegar ata os 100 km, aínda que nalgunhas zonas resulta de difícil detección, existindo sospeitas de que puidera non ser un nivel xeral en todo o planeta."
asteroide,"Astro que orbita arredor do Sol pero de tamaño moito máis pequeno que o dos planetas. Ata 1998 foran descubertos máis de 8000 asteroides, de diferentes tipos, clasificándose segundo o seu albedo. A gran maioría presenta a súa órbita entre as órbitas de Marte e Xúpiter, sendo os catro máis grandes: Ceres, Palas, Xuno e Vesta. Algúns forman grupos con movementos sincronizados como é o caso dos chamados troianos."
astigmatismo,"Aberración dunha lente pola que cando os raios contidos nun mesmo plano están enfocados, outros raios, contidos noutro plano, quedan desenfocados. Segundo a figura, considerando un cono ou pincel de raios próximos arredor do raio principal e co vértice nun punto do obxecto, dous diámetros dunha circunferencia que corte a ese cono antes da lente aparecerán, despois do seu paso pola lente, separados unha determinada distancia, chamada tamén astigmatismo. Esas imaxes rectilíneas dos diámetros, perpendiculares entre si, reciben o nome de focais de Sturm. Tamén o ollo humano pode presentar astigmatismo, o que ocorre cando a córnea presenta diferentes curvaturas segundo unha u outra dirección. V. aberracións xeométricas.0figura0."
astro,Nome xenérico referido a calquera dos innumerables corpos celestes que se atopan no Universo.
astrobioloxía,Parte da astronomía que estudia as cuestións relacionadas coa difusión de vida orgánica no cosmos.
astrofísica,"Parte da astronomía que estudia a constitución, propiedades e natureza dos astros. Como principal ferramenta de estudio emprega a análise dos diferentes sinais do espectro electromagnético que chegan á Terra, procedentes dos astros. O obxectivo é, mediante o emprego de modelos matemáticos, a representación dos diferentes procesos ocorridos nos diferentes astros, facilitando a comprensión sobre os mesmos."
astrolabio,"Antigo instrumento, plano ou esférico, no que está representada a bóveda celeste coas principais estrelas e elementos celestes, provisto de limbos graduados e alidadas, útiles para medir altura e outras coordenadas dos astros. Das medidas obtidas co astrolabio podía coñecerse, entre outras cousas, a hora solar e determinar a latitude do observador, así como as coordenadas dun astro. V. navegación."
astrometría,"Parte da astronomía que estudia a posición e movemento dos astros na bóveda celeste, así como a súa distancia á Terra."
astronáutica,"Conxunto de ciencias e técnicas adicadas ao estudio e realización da navegación entre astros. Inclúe o desenvolvemento de naves espaciais tripuladas, satélites artificiais, sondas espaciais e calquera outro vehículo empregado fóra da Terra, así como o estudio das órbitas deses vehículos."
astronomía,"Ciencia que estudia os obxectos e fenómenos exteriores á atmosfera terrestre. Estudia os astros, a súa orixe, constitución e evolución, así como a súa distribución en diferentes estructuras e escalas no Universo, clasificándose en diferentes ramas, segundo a finalidade, sendo as máis básicas: astrometría, astrofísica, astronáutica e cosmoloxía. A información procedente dos astros chega toda en forma de ondas electromagnéticas e, segundo o treito empregado para un determinado estudio, fálase de astronomía óptica, astronomía infravermella, astronomía de raios X, astronomía de raios gamma, etc."
astronomía de posición,Astrometría.
atenuación,"Forma de amortecemento dunha onda debida, non a unha perda de enerxía senón a un efecto xeométrico. Aínda supoñendo que a enerxía transmitida pola onda cada segundo (ou sexa, a potencia),  permanecera constante durante a súa propagación, sen perderse nada, ao afastarse do foco emisor a mesma potencia debe repartirse nunha maior superficie e iso significa unha diminución da intensidade da onda, observándose que diminúe co cadrado da distancia ao foco.0figura0. A atenuación é un fenómeno inevitable e xeneralizado a todas as ondas agás as ondas planas."
atérmano,Calidade dun corpo que non deixa pasar a calor ao seu través. Antónimo de diatérmano.
atérmico,Atérmano.
atmosfera,"Masa gasosa que rodea a algúns planetas, estrelas e satélites. De composición diferente en cada caso, nas atmosferas planetarias distínguense, en xeral, as seguintes rexións, segundo a variación da temperatura coa altitude (ou gradiente térmico): troposfera, estratosfera, mesosfera, termosfera e exosfera. A característica xeral da troposfera e da mesosfera é ter gradiente térmico negativo, o que significa que a temperatura diminúe coa altura, mentres que a estratosfera e termosfera, presenta gradiente positivo. V. atmosfera terrestre."
atmosfera,Atmosfera física. V. atmosfera técnica.
atmosfera física,"Unidade de presión equivalente a 1,013 25.105 Pa. O valor da presión atmosférica na superficie terrestre ten valores próximos a esta unidade, que tamén recibe simplemente o nome de atmosfera. V. atmosfera técnica."
atmosfera técnica,"Unidade de presión correspondente á exercida por unha forza de 1 kp (quilopondio) actuando sobre unha superficie de 1 cm2.  Equivale a 0,980 66.105 Pa, resultando algo inferior á atmosfera física, máis empregada en física."
atmosfera terrestre,"Masa gasosa que rodea a Terra. Está formada polo aire, mestura de diversos gases, fundamentalmente nitróxeno, osíxeno, dióxido de carbono e argon, e outros en menor cantidade, así como outros en cantidade variable como o vapor de auga (V. humidade). Na súa estructura distínguense catro grandes capas: a primeira, chamada troposfera é a capa de menor volume e maior densidade. Esténdese ata preto dos 12 km de altura e nela teñen lugar os fenómenos meteorolóxicos. A súa temperatura diminúe coa altura a un ritmo de 1ºC por cada 100 m aproximadamente (V. gradiente térmico; gradiente adiabático). A seguinte capa, a estratosfera, que chega ata uns 50 km, contén sobre unha cuarta parte da masa total dos gases atmosféricos e, nesta capa, a temperatura medra coa altura (gradiente térmico positivo). A composición desta capa varía moito coa altura. Destaca o seu maior contido en ozono, gas encargado de filtrar parte da radiación ultravioleta que chega do sol ao planeta. A troposfera e a estratosfera están separadas pola tropopausa. Por riba da estratosfera atopamos a  mesosfera, de gradiente térmico negativo e, máis exterior, a termosfera, de gradiente positivo. Estas dúas agrúpanse na ionosfera, chamada así porque nela, os gases son ionizados pola radiación solar. A ionosfera esténdese ata uns 600 km e precede a última capa, a exosfera que contén só o 1% da masa total atmosférica. Os gases que a compoñen, basicamente hidróxeno e helio, están en estado atómico"
atomismo,"Doctrina mecanicista defendida, na Grecia Antiga, por Demócrito de Abdera (¿470?-¿380? a.n.e.) e o seu mestre, Leucipo de Mileto, segundo a cal a materia está formada por diminutas e indivisibles partículas, chamadas por isto átomos. Sostiña que os átomos eran eternos, inmutables e indestructibles, así como que diferían uns átomos dosoutros fisicamente, o que explicaría as diferentes propiedades dos corpos. Pese á semellanza en moitos aspectos coa moderna teoría atómica, o atomismo xurde da intuición, mentres a nova teoría baséase en experimentos cuantitativos e modelos matemáticos."
atomizador,Dispositivo baseado no efecto Venturi que permite expulsar dun recipiente un líquido en  forma de pequenas gotiñas ao ser succionado por unha corrente de gas que atravesa a alta velocidade un estreitamento nunha conducción. 0figura0.
átomo,"Compoñente elemental da materia, é a menor cantidade imaxinable dun elemento químico. Contra o que o antigo atomismo defendía, os átomos son divisibles, e hoxe sabemos que constan dun núcleo, no que se atopan os protóns e neutróns, e unha zona máis externa na que se atopan os electróns. Os átomos, neutros, conteñen o mesmo número de electróns que de protóns, o chamado número atómico, característico de cada elemento químico. Ao perder ou gañar electróns, en calquera proceso químico, os átomos transfórmanse en ións. Por outra banda, cada elemento químico pode ter diferentes tipos de átomos, segundo o número de neutróns do seu núcleo, formando o que se chaman isótopos. V. modelos atómicos."
atractor estraño,"Atractor ao que tende un sistema caótico. Os atractores estraños son sempre fractais e ocupan unha rexión finita do espacio das fases, que só pode ser de dimensión superior a dous."
atractor,"No espacio das fases, conxunto de puntos ao que tenden as liñas que representan a evolución de determinados sistemas mecánicos. Pode ser un punto simple (o caso do punto de equilibrio nun péndulo con amortecemento), unha liña ou unha curva pechada (o caso dun péndulo obrigado a oscilar cunha frecuencia imposta), etc. Un caso de particular interese son os atractores estraños, que son fractais, aos que tenden os sistemas caóticos."
atto-,"Sb. a. Prefixo do submúltiplo decimal, empregado no SI, que representa 10-18 unidades correspondentes."
"Atwood, máquina de","Dispositivo mecánico proxectado polo físico inglés George Atwood (1746-1807) que sirve para demostrar a lei de caída dos corpos. Consiste nunha corda inextensible de masa desprezable que une dous corpos de masas m e m’, a través dunha polea fixa tamén de masa moi pequena. Aplicando as leis básicas da dinámica, cando a masa dos corpos é moi parecida, é posible demostrar que a aceleración que adquiren os corpos vén dada pola expresiónque ao ser moi pequena permite unha observación e toma de datos experimental bastante exacta e polo tanto unha medida indirecta da aceleración da gravidade g mediante a ecuación anterior. Orixinalmente Atwood usou un cilindro en vez dunha polea e pódese considerar o seu experimento a primeira confirmación experimental da segunda lei de Newton."
audiofrecuencias,V. son.
auga,"Composto químico formado por osíxeno e hidróxeno, de fórmula H2O, e de gran importancia en numerosos fenómenos terrestres, particularmente na química dos seres vivos. De feito a maior parte da masa dun animal ou vexetal é auga; nos mamíferos constitúe, como promedio, un 70 % da masa . Os puntos de fusión e ebulición da auga tómanse como referencia para diferentes escalas de temperatura (0ºC e 100ºC respectivamente na Celsius). Atópase, maioritariamente como líquido, resultando en estado puro inodora, incolora e insípida. Pese a súa gran abundancia, non se atopa en estado puro, se non que leva sempre disoltas diferentes substancias químicas, especialmente sales; un 90 % da auga atópase nos océanos e o resto forma parte, principalmente, dos casquetes polares e glaciares, ríos, auga subterránea e vapor de auga na atmosfera. É o gran disolvente químico, no que ocorren unha boa parte das reaccións que soportan a vida. O seu ciclo e movemento son motores de gran importancia no reparto da calor que a Terra recibe do Sol por radiación, excedentaria nas zonas ecuatoriais e deficitaria nas polares, dando lugar a diferentes fenómenos atmosféricos: néboas, nubes, borrascas, chuvias, furacáns, neve, etc.V. océanos; hidrosfera; correntes mariñas."
auga pesada,"Óxido de deuterio, de fórmula D2O ou 2H2O. Sendo o deuterio un isótopo do hidróxeno, quimicamente a auga pesada compórtase como a auga normal, diferenciándose nalgunhas propiedades físicas. Na Terra, constitúe un 0,015% da auga natural e pode separarse da mesma por electrolise (descompoñéndose só a auga normal e non a pesada) ou por destilación, pois a auga pesada ferve a 101,4º C. A auga pesada emprégase como moderador en reactores nucleares e como marcador isotópico para o estudio de reaccións químicas. V. reaccións nucleares."
aumento angular,"Sb. . Nun sistema óptico, cociente entre o ángulo que forman dous raios (ou as súas prolongacións), que concorren nun punto imaxe e o ángulo que forman os raios emerxentes do correspondente punto obxecto. Por iso, pódese expresar como a relación entre os ángulos que, co eixe principal, forma un raio que pasa polo punto imaxe e punto obxecto. V. lente; dioptrio esférico.0figura0"
aumento axial,"Nun sistema óptico, cociente entre as dimensións respectivas da imaxe e do obxecto correspondente, na dirección do eixe óptico."
aumento dun proxector,Aumento lateral dun proxector. Varía coa converxencia do obxectivo do proxector e a distancia deste á pantalla de proxección.
aumento ebulioscópico,"Propiedade coligativa dunha disolución que dá conta do aumento no punto de ebulición que experimenta un disolvente puro,, ao introducir nel un soluto e formar unha disolución de molalidade m. Calcúlase mediante a ecuación, onde KE é a chamada constante ebulioscópica, propia de cada disolvente."
aumento lateral,"Sb. . Nunha lente, sistema de lentes ou espellos, cociente entre o tamaño da imaxe e a do obxecto. V. aumento angular; dioptrio esférico."
aumento visual,"Sb. A. Nun instrumento de visión directa, é o cociente entre a altura da imaxe retiniana formada empregando o aparello e a altura da imaxe retiniana formada sen o aparello. Nos anteollos terrestres e nos astronómicos (ou de Kepler), o aumento é directamente proporcional á converxencia do ocular e inversamente proporcional á converxencia do obxectivo. V. aumento lateral; instrumento óptico."
aurora austral,Aurora polar nas proximidades do polo Sur.
aurora boreal,Aurora polar nas proximidades do polo Norte.
aurora polar,"Fenómeno óptico especialmente observable nas zonas próximas aos polos xeográficos. Ocorre debido aos múltiples choques de partículas electricamente cargadas procedentes do Sol, como protóns e electróns constituintes do vento solar, con moléculas de gases presentes na ionosfera terrestre, resultando unha ionización destas últimas. Ao producirse a recombinación dos electróns resultantes desa ionización coas moléculas do gas, estas emiten radiación en forma de luz, formando como finas cortinas de diferentes cores. V. xeomagnetismo."
autoinducción,"Fenómeno que se produce cando, ao cambiar a intensidade da corrente eléctrica que circula por un circuíto, prodúcese un cambio no fluxo magnético que atravesa o devandito circuíto, aparecendo unha corrente inducida, que supón unha forza electromotriz (FEM) inducida no mesmo. O valor desta FEM deriva das leis de Henry-Faraday e Lenz, e vén dado porsendo L o chamado coeficiente de autoinducción, característico de cada circuíto, e I a intensidade da corrente que circula polo mesmo."
autoinducción,"Nome simplificado do coeficiente de autoinducción. V. Henry-Faraday, lei de; Lenz, lei de."
"Avogadro, hipótese de","Lei descuberta polo físico Lorenzo Romano Amadeo Carlo Avogadro di Quaregna (1776-1856) que establece que baixo as mesmas condicións de presión e temperatura, volumes iguais de diferentes gases ideais conteñen o mesmo número de partículas elementais. Enunciándoa doutro xeito podemos afirmar que o mesmo número de moléculas de gases diferentes, a igual presión e temperatura ocupan o mesmo volume. De xeito particular un mol de calquera gas ideal en condicións normais ocupan 22,4 litros. Este volume coñécese como volume molar."
"Avogadro, número de","Número de átomos existentes en 0,012 kg de 12C. En xeral, número de moléculas existentes nun mol dun composto ou de átomos nun mol dun elemento químico. O valor aproximado é de 6,022 045·1023 mol-1."
axente do campo,"Carga eléctrica ou masa que, debido a súa presencia nunha rexión do espacio, define un determinado campo eléctrico ou magnético no primeiro caso, ou gravitatorio no segundo. V. campo."
axioma,"Proposición xeral, formulada e aceptada como verdadeira sen demostración ou asumida como convenio. A partir de determinados axiomas, poden deducirse outras proposicións que, en matemáticas, reciben o nome de teoremas."
axitación térmica,"Movemento aleatorio que teñen as partículas dun corpo, resultando a temperatura do mesmo unha medida indirecta da enerxía media que esas partículas posúen."
azeótropo,Mestura de dúas substancias líquidas que ferve a temperatura constante formando un vapor da mesma composición que a fase líquida da que procede. Os compoñentes dun azeótropo non se poden separar mediante unha destilación fraccionada. Un exemplo moi coñecido constitúeo a mestura auga-etanol de 96º.
azimut,Acimut.
baixa resolución,"Utilizase en informática para denotar a baixa calidade (pouco detalle)  con que se reproduce a imaxe, por exemplo na pantalla dun ordenador. Está relacionada con o número de puntos (píxeles) que forman a imaxe."
balanza,"Aparello para medir a masa dos corpos. A balanza simple de 2 brazos consta dunha barra metálica horizontal que pousa sobre un pivote central sobre o que pode oscilar. Perpendicularmente disponse unha agulla que xira solidariamente coa barra á altura do pivote. Dos extremos colgan dous pratiños. Nun colócanse as masas coñecidas ou patróns e no outro o corpo que se quere pesar. A masa deste será igual á do conxunto de pesas coas que se alcance o equilibrio de forzas. Este punto acádanse cando o fiel se sitúa totalmente vertical (0figura0). Existen variacións desta balanza simple chamadas balanzas analíticas que permiten acadar precisións da orde das centésimas de miligramo. Sen embargo, hoxe en día, son de uso máis habitual nos laboratorios as balanzas electrónicas que rexistran os pesos medindo a forza eléctrica que se pon de manifesto ao colocar encima do prato da balanza un determinado corpo. A compensación que dita forza require para volver á situación inicial é proporcional ao peso do corpo o cal se visualiza directamente nunha pantalla dixital."
balanza de torsión,"Cavendish, balanza de."
balanza hidrostática,Variación da balanza simple que ten os brazos largos e os pratiños moi distanciados da base que se emprega para comprobar o principio de Arquímedes. Sóese proceder do seguinte xeito. Primeiro mídese o peso do corpo fóra do fluído. A continuación suspéndese o corpo dun prato mediante un fío e introdúcese no fluído. Para equilibrar de novo a balanza é preciso sacar peso do prato de referencia . Esta perda de peso representa o do fluído desaloxado. Este método permite a determinación da densidade dun corpo.
baleiro cuántico,"Entidade definida pola existencia de campos libres non nulos que presentan fluctuacións aleatorias segundo o principio de incertidume de Heisenberg. A diferencia do teórico baleiro clásico, caracterizado pola nada, no baleiro cuántico considérase a constante formación e aniquilación de pares de partícula-antipartícula, seguindo a indeterminación de variables conxugadas como enerxía e tempo, segundo establece o principio de Heisenberg. V. enerxía escura."
baleiro,"Na física clásica, dise do espacio que non contén aire nin outra materia perceptible por ningún medio físico nin quimico. Ante o caso ideal, na realidade atópanse diferentes graos de baleiro, alcanzables con diferentes sistemas (V. bomba de baleiro). Cada baleiro vén caracterizado pola presión alcanzable no mesmo, empregándose na súa medida o torr. Téñense acadado, ata o momento, presións menores dos 10-14 torr. V. baleiro cuántico."
balística,"Parte da mecánica que ten por obxecto o estudio do movemento que levan a cabo os proxectís. Soe distinguirse entre unha balística interior, que dá conta dos fenómenos que se suceden dende a ignición da carga ata que o proxectil abandona o canón, e balística exterior que se ocupa do estudio da traxectoria descrita polo mesmo ata que fai branco no obxectivo."
"Balmer, serie de","Conxunto de liñas espectrais que aparecen no visible e que, para o caso do hidróxeno, é debido ao salto dun electrón dende o nivel n1=2 a outro superior, n2=3, 4, 5,.... (espectro de absorción) ou no sentido inverso (espectro de emisión). Debe o nome ao físico Johann J. Balmer (1825-1898) quen descubriu a fórmula empírica que permitía calcular a lonxitude de onda, , correspondente a cada unha das primeiras liñas que aparecían no espectro visible do hidróxeno. A ecuación empírica posteriormente se convertiría nunha máis xeral, da formasendo R a chamada constante de Rydberg e n1 e n2 os números enteiros que indican o nivel de enerxía inicial e final. Tal descubrimento supuxo un gran pulo á investigación sobre a natureza dos espectros atómicos e sobre a propia natureza do átomo, sendo explicado polo modelo atómico de Bohr, previo ao nacemento da mecánica cuántica moderna. V. serie espectral; número cuántico."
banda de conducción,V. teoría de bandas.
banda de enerxía,V. teoría de bandas.
banda de valencia,V. teoría de bandas.
banda prohibida,V. teoría de bandas.
"Banki, paradoxo de","Fenómeno que acontece cando se insufla aire a presión sobre un tubo de goma polo que circula un fluído e que atravesa un recinto pechado. En principio, o aumento de presión externa sobre o tubo faría reducir a sección deste. Sen embargo obsérvase o contrario: o tubo aumenta de diámetro debido a que ese aumento de presión externa fai diminuír a velocidade do fluído no interior do tubo. Pola ecuación de continuidade, isto implica un aumento na sección interna para manter a caudal constante. Reducindo a presión externa dase o efecto contrario."
bar,"Sb. bar. Unidade de presión admitida no SI, aínda que a unidade recomendada é o pascal. 1 bar equivale a 105 Pa. En meteoroloxía é moi empregado un submúltiplo, o milibar (mbar)."
baria,"Sb. b. Unidade de presión no sistema c.g.s. 1 b = 0,1 Pa."
baricentro 1,"En xeometría, punto de intersección das medianas dun triángulo. 2 En física, centro de masas dun corpo."
bario,"Sb Ba. Elemento químico de número atómico 56, descuberto no 1774, por C. W. Scheele. Preséntase na natureza en forma de sete isótopos: Ba-138 (71,66 %), Ba-137 (11,32 %), Ba-136 (7,81 %), Ba-135 (6,59 %), Ba-134 (2,42 %), Ba-130 (0,10 %), e Ba-132 (0,10 %), e coñécense outros 33 isótopos artificiais. É un elemento brando e en estado puro ten unha cor branca prateada. M.A.137,34 u; Pf. 725 C; Peb. 1870 ºC;  3500 kgm-3."
barión,"Partícula subatómica caracterizada por ter unha masa en repouso igual ou maior que a dun nucleón, e que responde á interacción nuclear forte. Son barións os nucleóns (protóns e neutróns) e todos os hiperóns. Os barións son todos fermións. V. número bariónico; estrañeza."
barlovento,"Nunha embarcación, montaña, etc, lado do que sopra o vento. É o contrario de sotavento."
"Barlow, lentes de","En astronomía, sistema óptico empregado nos telescopios para aumentar a distancia focal do obxectivo."
barn,Sb. b. Unidade de superficie admitida no SI para o emprego en física nuclear. É utilizada para medir a sección eficaz atómica e equivale a 10-28m2.
barógrafo,Aparello que rexistra as presións atmosféricas nun intervalo de tempo. Consiste nun barómetro metálico cunha agulla que remata nunha pluma apoiada nun cilindro sobre do cal se enrola un papel de rexistro. O cilindro xira movido por un aparello de reloxería e a pluma debuxa as presións correspondentes a cada instante.
barómetro aneroide,Barómetro metálico.
barómetro de cubeta,V. barómetro de mercurio
barómetro de mercurio,"Barómetro que relaciona a presión atmosférica coa altura acadada por unha columna de mercurio. Existen distintos tipos que se poden clasificar en dous grandes grupos: os de cubeta, esencialmente similares ao empregado por Torricelli no seu experimento, como por exemplo os de Regnault ou o de Fortín, e os de sifón, variante da anterior que consiste nun tubo de vidro en forma de J cun extremo pechado análogo ao tubo de Torricelli e outro aberto que fai de cubeta"
barómetro de sifón,V. barómetro de mercurio
barómetro holostérico,Barómetro metálico.
barómetro,"Instrumento que se emprega para medir a presión atmosférica. Normalmente exprésana en función dunha altura barométrica. Existen dous grandes tipos, os de mercurio e os metálicos, segundo sexa a superficie libre dunha columna de mercurio ou o extremo dunha agulla metálica, respectivamente, o que marque o valor de presión atmosférica."
barómetro metálico,Barómetro que relaciona a presión atmosférica co desprazamento dunha agulla metálica sobre unha escala graduada. Tamén se coñecen como barómetros aneroides ou holostéricos. Son menos precisos que os de mercurio pero teñen a vantaxe de que se lles pode acoplar unha pluma que permite rexistrar de forma continua as variacións de presión atmosférica. Hai diferentes tipos en función do deseño. Compre destacar o barómetro de Bourdon e o de Vidie.
barosanemo,Instrumento empregado para medir a presión do vento.
baroscopio,"Aparello ideado por Otto von Guericke (1602-1686) para demostrar a validez do principio de Arquímedes nos gases. Consta dunha balanza de dous brazos; nun deles colga unha gran esfera metálica oca e no outro unha pequena bóla maciza de chumbo, manténdose o sistema en equilibrio. Ao introducir a balanza nunha cámara neumática, e facer o baleiro no interior da mesma, deixa de actuar o empuxe do aire sobre as dúas esferas, inclinándose a balanza cara a abaixo no lado da esfera oca, pois esta experimenta un maior empuxe mergullada no aire; balanza hidrostática."
baróstato,Instrumento destinado a manter constante a presión no interior dunha cámara.
barreira de potencial,"En mecánica cuántica, nome dun sistema definido por unha función potencial con forma de barreira. Matematicamente, e considerando o caso unidimensional para simplificar, tal función pódese definir comoV(x) = V0 cando 0 &lt; x &lt; a, e V(x) = 0 cando x &lt; 0 ou x &gt; a. Mentres que na mecánica clásica, ao atoparse unha partícula cunha enerxía menor que a altura desa barreira non podería atravesala, na mecánica cuántica existe certa probabilidade de que a partícula atravese a barreira, é o chamado efecto túnel.V. pozo de potencial cadrado. 0figura0."
base,"Unha das seccións exteriores dun transistor bipolar, xunto co emisor e o colector."
BASIC,Acrónimo de Beginners’ All-purpose Symbolic Instruction Code. Linguaxe de programación de ordenadores.
batán,"Máquina hidráulica empregada tradicionalmente para bater os tecidos mollados (abatanar) de forma que se consegue amalgamar as fibras, apertar o seu entramado e desengraxar o propio tecido cando é o caso (p.e., na la)."
batementos,Pulsacións.
bater segundos,Expresión que se emprega para dicir que un péndulo ten un período de oscilación de 2 segundos.
batería,Conxunto de dous ou mais acumuladores.  Empregase con frecuencia para referirse a un único elemento.
batería eléctrica,V. batería
batidos,Pulsacións.
baudio,Unidade de velocidade de transferencia de información. Representa o número de cambios de sinal que se producen nun segundo. As veces emprégase incorrectamente como sinónimo de bit por segundo (bps). O nome é en lembranza do enxeñeiro Jean-Maurice-Emile Baudot (1845-1903).
"Baumé, grao","Sb.ºBe. Unidade empregada na medida da densidade dunha disolución. A escala Baumé toma como puntos fixos a densidade da auga pura e a dunha disolución acuosa de cloruro sódico do 10%. Para líquidos máis densos que a auga asígnaselle o valor de 0 ºBe á auga e 10 ºBe á disolución do sal. A 15,6 ºC a relación entre os graos Baumé e a densidade deste tipo de líquidos vén dada pola expresiónPara líquidos menos densos que a auga, os puntos de referencia están invertidos respecto aos anteriores e a expresión válida neste caso, tamén a 15,6ºC é."
"Bayer, catálogo de",V. Uranometria.
"BCS, teoría",V. superconductividade.
"Beattie-Bridgman, ecuación de","Ecuación empírica que relaciona as variables de estado presión, volume molar e temperatura para gases reais. Ten a seguinte formaonde A, B, a, b, e c son parámetros que se deben determinar experimentalmente para cada tipo de gas."
"Beaufort, escala de","Escala empregada para coñecer de forma aproximada a velocidade do vento. É debida ao mariño Francis Beaufort (1774-1857) que a presentou por primeira vez en 1808. Existen dúas escalas, unha empregada no mar e nas costas e outra en terra. A máis empregada é a primeira, que clasifica os ventos en 12 categorías ou forzas dende calma total (forza 0) a furacán (forza 12) pasando sucesivamente por distintas gradacións de brisa, vento e tempestade. De forma bastante aproximada pódese dicir que a velocidade do vento dentro de cada categoría é 10 kmh-1 superior á anterior."
becquerel,"Sb. Bq. Tamén chamado becquerelio, é a unidade de actividade dun radionucleido empregada no SI, en lembranza do físico Henri Becquerel (1852-1908) que descubríu a radioactividade. Corresponde á actividade dunha fonte radioactiva na que se produce unha transformación ou unha transición nuclear por segundo. V. desintegración radioactiva; curie."
"Beer, lei de","Lei que establece unha relación entre a diminución da intensidade enerxética (ou máis frecuentemente a iluminación enerxética) dun feixe de luz que atravesa unha disolución coa concentración da mesma e a coa distancia percorrida pola luz nese medio. Sendo a iluminación enerxética inicial ea que posúe despois de percorrer unha distancia, ao través da disolución de coeficiente de extinción molare molaridade M, a lei de Beer exprésase segundo a ecuación: A lei de Beer é unha derivación da lei de Lambert e, ao incluír como variable a molaridade da disolución absorbente permite coñecer, mediante medidas de absorbancia (logaritmo do cociente), a concentración dunha determinada mostra, resultando de gran utilidade na análise química. O valor do coeficiente de extinción molar depende da substancia disolta e da frecuencia da radiación empregada. V. fotocolorimetría; absorción."
bel,"Sb. B. 1. Unidade de sensación sonora ou nivel de intensidade sonora percibido polo oído, en lembranza do físico Alexander Graham Bell (1847-1922). Defínese 1 bel como a sensación experimentada cando o son que serve de estímulo e cunha frecuencia determinada, ten unha intensidade 10 veces maior que a do límite de audición correspondente. Máis empregado resulta o decibel ou decibelio. V. fonio; sonio."
bel,"En xeral, unidade que expresa o logaritmo decimal da intensidade relativa dun sinal acústico ou dun sinal eléctrico, segundo."
belio,bel.
"Bell, desigualdade de","Relación estatística formulada por John Bell, partindo do argumento de Einstein-Podolsky-Rosen e a teoría de conxuntos, aplicable a certas propiedades das partículas subatómicas que poden tomar dous únicos valores (como o espín, positivo ou negativo, ou a polarización ou non segundo unha determinada dirección). Dado que esta desigualdade é teoricamente demostrable partindo de teorías realistas locais, e que a súa violación está predita pola mecánica cuántica, a busca do cumprimento ou non de tal desigualdade, en diferentes experimentos con partículas, é un obxectivo de interese na confirmación da mecánica cuántica. Tamén é coñecido como teorema de Bell. V. variables ocultas; realismo; separabilidade; determinismo; Schrödinger, gato de."
bemol,Sb. b. Nota coa tonalidade un semiton máis baixo que o seu son natural. V. sostido.
"Bènard, celas de convección de",Fenómeno que ten lugar en determinadas condicións no interior dun líquido que consiste na formación de celas hexagonais na superficie libre do mesmo ao quentar a parte inferior de xeito uniforme. A mesma orixe teñen tamén a formación xeométrica de nubes e os solos poligonais que adoitan aparecer en zonas árticas.
"Bennett, ecuación de","En astronomía, fórmula que permite correxir, de forma aproximada, a altura observada dun astro sobre o horizonte e aproximarse á altura verdadeira que ten nese intre. A diferencia entre as dúas alturas débese á refracción que sofre a luz procedente do astro ao atravesar a atmosfera terrestre. Sendo P e T a presión e temperatura (en mbar e ºC respectivamente) e h a altura observada para un determinado astro, a súa altura verdadeira, hv, virá dada por:"
